country,entrance,title,week
Box Office France,"
1 245 470
",Barbie,2023-07-25
Box Office France,"
976 777
",Oppenheimer,2023-07-25
Box Office France,"
43 476
",La Maison du mal,2023-07-25
Box Office France,"
11 205
",Les Ombres persanes,2023-07-25
Box Office France,"
7 525
",Les Meutes,2023-07-25
Box Office France,"
753
",Paula,2023-07-25
Box Office France,"
716
",Caiti Blues,2023-07-25
Box Office France,"
15 412
",Sous le tapis,2023-07-25
Box Office France,"
2 663
",De nos jours...,2023-07-25
Box Office France,"
150
",Navigators,2023-07-25
country,entrance,title,week
Box Office France,"
976 777
",Oppenheimer,2023-07-25
Box Office France,"
1 245 470
",Barbie,2023-07-25
Box Office France,"
716
",Caiti Blues,2023-07-25
Box Office France,"
11 205
",Les Ombres persanes,2023-07-25
Box Office France,"
15 412
",Sous le tapis,2023-07-25
Box Office France,"
7 525
",Les Meutes,2023-07-25
Box Office France,"
2 663
",De nos jours...,2023-07-25
Box Office France,"
43 476
",La Maison du mal,2023-07-25
Box Office France,"
753
",Paula,2023-07-25
Box Office France,"
150
",Navigators,2023-07-25
country,entrance,title,week
Box Office France,"
1 245 470
",Barbie,2023-07-25
Box Office France,"
753
",Paula,2023-07-25
Box Office France,"
11 205
",Les Ombres persanes,2023-07-25
Box Office France,"
976 777
",Oppenheimer,2023-07-25
Box Office France,"
15 412
",Sous le tapis,2023-07-25
Box Office France,"
7 525
",Les Meutes,2023-07-25
Box Office France,"
2 663
",De nos jours...,2023-07-25
Box Office France,"
43 476
",La Maison du mal,2023-07-25
Box Office France,"
150
",Navigators,2023-07-25
Box Office France,"
716
",Caiti Blues,2023-07-25
country,entrance,title,week
Box Office France,"
976 777
",Oppenheimer,2023-07-25
Box Office France,"
753
",Paula,2023-07-25
Box Office France,"
43 476
",La Maison du mal,2023-07-25
Box Office France,"
1 245 470
",Barbie,2023-07-25
Box Office France,"
150
",Navigators,2023-07-25
Box Office France,"
716
",Caiti Blues,2023-07-25
Box Office France,"
7 525
",Les Meutes,2023-07-25
Box Office France,"
11 205
",Les Ombres persanes,2023-07-25
Box Office France,"
15 412
",Sous le tapis,2023-07-25
Box Office France,"
2 663
",De nos jours...,2023-07-25
country,entrance,title,week
Box Office France,"
15 412
",Sous le tapis,2023-07-25
Box Office France,"
7 525
",Les Meutes,2023-07-25
Box Office France,"
2 663
",De nos jours...,2023-07-25
Box Office France,"
716
",Caiti Blues,2023-07-25
Box Office France,"
150
",Navigators,2023-07-25
Box Office France,"
976 777
",Oppenheimer,2023-07-25
Box Office France,"
11 205
",Les Ombres persanes,2023-07-25
Box Office France,"
753
",Paula,2023-07-25
Box Office France,"
1 245 470
",Barbie,2023-07-25
country,entrance,title,week
Box Office France,976 777,Oppenheimer,2023-07-25
Box Office France,15 412,Sous le tapis,2023-07-25
Box Office France,11 205,Les Ombres persanes,2023-07-25
Box Office France,2 663,De nos jours...,2023-07-25
Box Office France,7 525,Les Meutes,2023-07-25
Box Office France,150,Navigators,2023-07-25
Box Office France,43 476,La Maison du mal,2023-07-25
Box Office France,1 245 470,Barbie,2023-07-25
Box Office France,753,Paula,2023-07-25
Box Office France,716,Caiti Blues,2023-07-25
country,entrance,title,week
Box Office France,976 777,Oppenheimer,2023-07-24
Box Office France,753,Paula,2023-07-24
Box Office France,150,Navigators,2023-07-24
Box Office France,15 412,Sous le tapis,2023-07-24
Box Office France,7 525,Les Meutes,2023-07-24
Box Office France,11 205,Les Ombres persanes,2023-07-24
Box Office France,43 476,La Maison du mal,2023-07-24
Box Office France,1 245 470,Barbie,2023-07-24
Box Office France,2 663,De nos jours...,2023-07-24
Box Office France,716,Caiti Blues,2023-07-24
country,entrance,title,week
Box Office France,976777,Oppenheimer,2023-07-25
Box Office France,43476,La Maison du mal,2023-07-25
Box Office France,753,Paula,2023-07-25
Box Office France,716,Caiti Blues,2023-07-25
Box Office France,1245470,Barbie,2023-07-25
Box Office France,7525,Les Meutes,2023-07-25
Box Office France,150,Navigators,2023-07-25
Box Office France,15412,Sous le tapis,2023-07-25
Box Office France,2663,De nos jours...,2023-07-25
Box Office France,11205,Les Ombres persanes,2023-07-25
