date_release,entrance,title,week
,"
306 107
",Insidious: The Red Door,2023-07-06
,"
1 215
",Luise,2023-07-06
,"
3 697
",Promenade à Cracovie,2023-07-06
,"
78 717
",Yo Mama,2023-07-06
,"
660 421
",Miraculous - le film,2023-07-06
,"
3 685 097
",Astérix et Obélix : Mission Cléopâtre,2023-07-06
,"
39 587
",Les Filles d’Olfa,2023-07-06
,"
3 158
",Welfare,2023-07-06
,"
209
",Marinaleda,2023-07-06
,"
9 258
",Joy Ride,2023-07-06
,"
58 679
",Une nuit,2023-07-06
,"
397
",Tout Le Monde M'appelle Mike,2023-07-06
,"
28 720
",À contretemps,2023-07-06
,"
174
",Tinnitus,2023-07-06
,"
20 443
",Master Gardener,2023-07-06
,"
266
",Au cimetière de la pellicule,2023-07-06
,"
1 849
","Cléo, Melvil et moi",2023-07-06
